Indicator,Geolocation,Level of Education,Sex,2018,2019,2020,2021,2022,2023
4.1.s1 Cohort survival rate,..MIMAROPA Region,Secondary (Junior High School),Male,80.4,82.6,81.1,100.0,87.6,75.2
4.1.s1 Cohort survival rate,..MIMAROPA Region,Secondary (Senior High School),Both Sexes,71.4,75.0,75.3,100.0,77.9,66.9
4.1.s1 Cohort survival rate,..MIMAROPA Region,Secondary (Senior High School),Female,74.9,78.5,81.2,100.0,79.9,73.9
4.1.s1 Cohort survival rate,..MIMAROPA Region,Secondary (Senior High School),Male,67.9,71.5,69.7,100.0,75.9,60.6
4.1.s1 Cohort survival rate,..Region V,Elementary,Both Sexes,97.1,96.4,78.3,100.0,99.1,93.2
4.1.s1 Cohort survival rate,..Region V,Elementary,Female,98.8,98.0,80.5,100.0,99.4,95.3
4.1.s1 Cohort survival rate,..Region V,Elementary,Male,95.6,95.0,76.2,100.0,98.7,91.4
4.1.s1 Cohort survival rate,..Region V,Secondary (Junior High School),Both Sexes,87.7,84.1,69.0,100.0,89.9,82.5
4.1.s1 Cohort survival rate,..Region V,Secondary (Junior High School),Female,93.0,89.1,74.8,100.0,92.4,88.3
4.1.s1 Cohort survival rate,..Region V,Secondary (Junior High School),Male,82.5,79.4,63.5,100.0,87.5,77.2
4.1.s1 Cohort survival rate,..Region V,Secondary (Senior High School),Both Sexes,79.3,74.0,52.3,100.0,81.7,70.6
4.1.s1 Cohort survival rate,..Region V,Secondary (Senior High School),Female,83.9,78.3,58.5,100.0,84.6,78.2
4.1.s1 Cohort survival rate,..Region V,Secondary (Senior High School),Male,74.7,69.8,46.5,100.0,79.0,63.8
4.1.s1 Cohort survival rate,..Region VI,Elementary,Both Sexes,97.6,97.7,94.0,100.0,99.7,96.3
4.1.s1 Cohort survival rate,..Region VI,Elementary,Female,99.0,98.9,95.3,100.0,100.0,97.9
4.1.s1 Cohort survival rate,..Region VI,Elementary,Male,96.3,96.7,92.7,100.0,99.5,94.9
4.1.s1 Cohort survival rate,..Region VI,Secondary (Junior High School),Both Sexes,89.3,86.4,93.9,100.0,92.9,86.3
4.1.s1 Cohort survival rate,..Region VI,Secondary (Junior High School),Female,93.0,90.7,95.5,100.0,94.6,91.7
4.1.s1 Cohort survival rate,..Region VI,Secondary (Junior High School),Male,85.6,82.3,92.3,100.0,91.3,81.3
4.1.s1 Cohort survival rate,..Region VI,Secondary (Senior High School),Both Sexes,81.1,78.1,87.5,100.0,85.7,75.2
4.1.s1 Cohort survival rate,..Region VI,Secondary (Senior High School),Female,84.3,82.2,91.1,100.0,86.5,81.4
4.1.s1 Cohort survival rate,..Region VI,Secondary (Senior High School),Male,78.0,73.9,83.9,100.0,84.9,69.7
4.1.s1 Cohort survival rate,..Region VII,Elementary,Both Sexes,98.9,97.5,83.3,100.0,100.0,96.8
4.1.s1 Cohort survival rate,..Region VII,Elementary,Female,100.0,99.0,85.4,100.0,100.0,98.8
4.1.s1 Cohort survival rate,..Region VII,Elementary,Male,97.1,95.9,81.4,100.0,99.7,95.0
4.1.s1 Cohort survival rate,..Region VII,Secondary (Junior High School),Both Sexes,92.6,85.3,80.1,100.0,93.7,85.8
4.1.s1 Cohort survival rate,..Region VII,Secondary (Junior High School),Female,95.9,90.6,84.0,100.0,95.9,91.4
4.1.s1 Cohort survival rate,..Region VII,Secondary (Junior High School),Male,88.3,80.3,76.3,100.0,91.6,80.7
4.1.s1 Cohort survival rate,..Region VII,Secondary (Senior High School),Both Sexes,88.0,79.1,68.9,100.0,86.7,79.8
4.1.s1 Cohort survival rate,..Region VII,Secondary (Senior High School),Female,91.4,84.2,74.2,100.0,88.5,85.6
4.1.s1 Cohort survival rate,..Region VII,Secondary (Senior High School),Male,83.1,73.1,63.7,100.0,85.2,74.5
4.1.s1 Cohort survival rate,..Region VIII,Elementary,Both Sexes,94.7,96.0,95.9,99.1,98.7,92.5
4.1.s1 Cohort survival rate,..Region VIII,Elementary,Female,97.0,97.0,97.0,99.8,99.1,94.7
4.1.s1 Cohort survival rate,..Region VIII,Elementary,Male,92.6,95.1,94.8,98.0,98.3,90.5
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Junior High School),Both Sexes,83.7,82.7,90.3,100.0,88.0,78.2
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Junior High School),Female,88.8,87.8,94.2,100.0,90.5,84.6
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Junior High School),Male,78.6,77.8,86.6,100.0,85.7,72.3
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Senior High School),Both Sexes,76.8,74.7,84.7,100.0,77.4,64.1
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Senior High School),Female,80.4,78.5,89.8,100.0,77.8,71.1
4.1.s1 Cohort survival rate,..Region VIII,Secondary (Senior High School),Male,73.2,71.0,79.6,100.0,77.1,57.9
4.1.s1 Cohort survival rate,..Region IX,Elementary,Both Sexes,97.4,95.6,85.1,100.0,99.1,91.9
4.1.s1 Cohort survival rate,..Region IX,Elementary,Female,99.1,98.1,87.5,100.0,100.0,95.5
4.1.s1 Cohort survival rate,..Region IX,Elementary,Male,95.1,93.2,82.8,99.8,97.7,88.5
4.1.s1 Cohort survival rate,..Region IX,Secondary (Junior High School),Both Sexes,84.0,78.9,87.7,100.0,85.3,75.1
4.1.s1 Cohort survival rate,..Region IX,Secondary (Junior High School),Female,89.8,84.5,90.8,100.0,89.8,83.0
4.1.s1 Cohort survival rate,..Region IX,Secondary (Junior High School),Male,78.1,73.3,84.5,100.0,81.1,67.6
4.1.s1 Cohort survival rate,..Region IX,Secondary (Senior High School),Both Sexes,77.2,71.2,79.2,100.0,76.4,62.5
4.1.s1 Cohort survival rate,..Region IX,Secondary (Senior High School),Female,81.4,76.3,82.8,100.0,79.1,71.0
4.1.s1 Cohort survival rate,..Region IX,Secondary (Senior High School),Male,72.9,65.7,75.5,100.0,74.0,54.7
4.1.s1 Cohort survival rate,..Region X,Elementary,Both Sexes,94.8,95.5,83.7,100.0,99.1,91.3
4.1.s1 Cohort survival rate,..Region X,Elementary,Female,96.7,97.5,86.2,100.0,99.6,94.3
4.1.s1 Cohort survival rate,..Region X,Elementary,Male,93.1,93.7,81.4,99.3,98.5,88.6
4.1.s1 Cohort survival rate,..Region X,Secondary (Junior High School),Both Sexes,86.3,82.9,83.7,100.0,89.9,79.3
4.1.s1 Cohort survival rate,..Region X,Secondary (Junior High School),Female,90.3,86.9,87.4,100.0,92.7,85.0
4.1.s1 Cohort survival rate,..Region X,Secondary (Junior High School),Male,82.2,78.9,80.0,100.0,87.3,73.9
4.1.s1 Cohort survival rate,..Region X,Secondary (Senior High School),Both Sexes,80.2,75.0,76.5,97.8,79.8,69.7
4.1.s1 Cohort survival rate,..Region X,Secondary (Senior High School),Female,83.2,78.9,82.1,98.3,82.1,75.7
4.1.s1 Cohort survival rate,..Region X,Secondary (Senior High School),Male,76.3,70.9,70.8,97.2,77.7,64.0
4.1.s1 Cohort survival rate,..Region XI,Elementary,Both Sexes,97.1,96.1,74.2,100.0,100.0,93.3
4.1.s1 Cohort survival rate,..Region XI,Elementary,Female,99.5,98.2,77.1,100.0,100.0,96.0
4.1.s1 Cohort survival rate,..Region XI,Elementary,Male,94.3,94.1,71.4,100.0,100.0,90.8
4.1.s1 Cohort survival rate,..Region XI,Secondary (Junior High School),Both Sexes,85.2,83.0,75.6,100.0,93.0,81.2
4.1.s1 Cohort survival rate,..Region XI,Secondary (Junior High School),Female,90.8,87.9,79.9,100.0,94.2,87.1
4.1.s1 Cohort survival rate,..Region XI,Secondary (Junior High School),Male,79.6,78.1,71.3,100.0,91.9,75.7
4.1.s1 Cohort survival rate,..Region XI,Secondary (Senior High School),Both Sexes,80.7,75.5,60.5,100.0,85.3,71.7
4.1.s1 Cohort survival rate,..Region XI,Secondary (Senior High School),Female,86.1,80.6,65.5,100.0,86.4,77.5
4.1.s1 Cohort survival rate,..Region XI,Secondary (Senior High School),Male,75.1,70.1,55.5,100.0,84.3,66.3
4.1.s1 Cohort survival rate,..Region XII,Elementary,Both Sexes,94.8,96.3,87.5,100.0,99.9,91.8
4.1.s1 Cohort survival rate,..Region XII,Elementary,Female,97.5,98.1,89.1,100.0,100.0,94.8
4.1.s1 Cohort survival rate,..Region XII,Elementary,Male,92.4,94.6,86.0,99.5,99.6,89.0
4.1.s1 Cohort survival rate,..Region XII,Secondary (Junior High School),Both Sexes,83.0,83.4,83.5,99.4,91.4,78.3
4.1.s1 Cohort survival rate,..Region XII,Secondary (Junior High School),Female,87.3,87.8,86.9,100.0,92.3,84.7
4.1.s1 Cohort survival rate,..Region XII,Secondary (Junior High School),Male,78.5,79.0,80.0,98.5,90.6,72.4
4.1.s1 Cohort survival rate,..Region XII,Secondary (Senior High School),Both Sexes,76.3,74.9,76.0,98.3,84.8,67.5
4.1.s1 Cohort survival rate,..Region XII,Secondary (Senior High School),Female,79.3,78.8,81.2,99.3,85.4,74.7
4.1.s1 Cohort survival rate,..Region XII,Secondary (Senior High School),Male,71.8,69.6,70.8,96.9,84.3,60.9
4.1.s1 Cohort survival rate,..Region XIII,Elementary,Both Sexes,95.7,96.4,93.9,98.7,99.2,92.2
4.1.s1 Cohort survival rate,..Region XIII,Elementary,Female,98.2,97.6,94.7,99.9,99.4,94.9
4.1.s1 Cohort survival rate,..Region XIII,Elementary,Male,93.4,95.2,93.2,97.3,99.0,89.7
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Junior High School),Both Sexes,86.7,85.1,91.0,98.1,89.3,77.0
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Junior High School),Female,90.8,88.2,93.5,99.0,90.3,83.0
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Junior High School),Male,82.6,82.0,88.7,97.3,88.3,71.4
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Senior High School),Both Sexes,79.8,75.6,84.8,97.5,79.7,64.8
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Senior High School),Female,82.0,77.9,89.2,99.0,78.9,72.0
4.1.s1 Cohort survival rate,..Region XIII,Secondary (Senior High School),Male,77.7,73.5,80.6,95.6,80.5,58.3
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Elementary,Both Sexes,76.7,75.2,64.7,87.5,90.2,67.0
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Elementary,Female,79.1,77.2,67.1,89.4,90.2,70.5
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Elementary,Male,74.2,73.1,62.4,85.5,89.8,63.7
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Junior High School),Both Sexes,94.7,87.4,74.0,98.1,85.8,69.1
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Junior High School),Female,94.5,89.1,78.5,99.5,86.8,75.2
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Junior High School),Male,93.6,85.4,68.9,95.8,84.6,62.5
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Senior High School),Both Sexes,71.0,70.0,58.7,91.7,67.7,52.9
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Senior High School),Female,71.1,71.5,62.9,94.2,68.3,58.1
4.1.s1 Cohort survival rate,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Secondary (Senior High School),Male,69.7,68.1,53.8,88.2,67.0,47.2
